"","Player","Pick","Age","ThreePM","ThreeP_Perc","FTM","FTA","FT_Perc","TOV","PF","ORB","DRB","RPG","APG","SPG","BPG","FGMForty","FGAForty","ThreePAForty","FTMForty","FTAForty","TOVForty","PFForty","ORBForty","DRBForty","REBForty","ASTForty","STLForty","BLKForty","PTSForty","TS_Perc","eFG_Perc","Total S _Perc","ORB_Perc","DRB_Perc","TRB_Perc","AST_Perc","TOV_Perc","STL_Perc","BLK_Perc","USG_Perc","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","WS","WS/48","BPM","VORP","AVG_Raptor","AVG_WAR"
"215","Marcus Thornton",45,22,3.1,0.402,3.8,4.6,0.83,2.3,1.1,0.3,2.5,2.8,2.9,0.6,0.1,7.1,15.6,8.4,4.2,5.1,2.5,1.2,0.3,2.7,3,3.1,0.7,0.1,21.8,0.605,0.564,168.7,1,7.9,4.7,17.5,12.4,1.1,0.4,28.5,-1.1,1.4,115.6,108.7,6.9,343.9,20.7,2.2,0.0646666666666667,-0.8,0.3,NA,NA
"216","Montrezl Harrell",32,21,0.3,0.243,3.3,5.5,0.597,2,2.1,3.2,6,9.2,1.4,0.9,1.2,6.9,12.2,1.2,3.7,6.2,2.2,2.4,3.6,6.8,10.4,1.6,1.1,1.4,17.9,0.588,0.578,140.7,9.9,19.2,14.5,9.3,12.9,1.6,3.8,22.3,-3,1.5,117.4,89.8,27.6,481.9,23.4,19.2,0.17475,1.75,5.5,0.525,2.45
"217","Myles Turner",11,19,0.5,0.274,2.8,3.3,0.839,1.4,2.4,1.3,5.2,6.5,0.6,0.3,2.6,6.2,13.6,3.3,5,5.9,2.5,4.3,2.3,9.4,11.8,1.1,0.5,4.7,18.3,0.556,0.488,156.9,7.2,24.9,16.8,6.2,13.2,0.8,12.3,25.1,-4.6,1.3,112.6,85.3,27.3,318.8,24.1,22.1,0.1315,0.45,5.3,-0.775,2.475
"218","Norman Powell",46,22,1.1,0.319,3.5,4.7,0.751,2.2,2.5,0.6,4.1,4.7,2.1,1.8,0.4,6.8,15,3.8,4.1,5.4,2.6,2.9,0.7,4.8,5.4,2.4,2.1,0.5,19,0.54,0.497,152.7,1.9,13.3,7.6,12.8,12.8,3.2,1.5,25.3,-2.3,1.3,107.2,98.9,8.3,340.9,18.8,7.4,0.08275,-1.1,0.9,-1.2,1.05
"219","Olivier Hanlan",42,22,2,0.353,3.4,4.5,0.759,2.7,2.1,0.8,3.5,4.2,4.2,1.3,0,7.5,16.5,6.1,3.7,4.8,2.8,2.3,0.8,3.7,4.5,4.5,1.4,0,20.8,0.553,0.519,156.6,2.6,11.5,7.1,29.1,13.1,2.1,0.1,30.1,0.4,1.3,109.3,105.1,4.2,363.9,21.1,NA,NA,NA,NA,NA,NA
"220","Pat Connaughton",41,22,2.4,0.423,1.3,1.7,0.781,1.2,2,1.1,6.3,7.4,1.5,0.7,0.9,4.9,10.5,6.5,1.5,1.9,1.3,2.2,1.2,7.1,8.3,1.7,0.8,1.1,14.1,0.615,0.597,167,4.2,20.4,13,7.6,10.2,1.3,2.7,17.7,-0.5,1.3,122.1,100,22.1,444.2,18.6,6.8,0.06075,-2.35,1,-2.675,0.975
"221","R.J. Hunter",28,21,2.3,0.305,5.8,6.6,0.878,2.2,2.4,0.8,3.9,4.7,3.6,2.1,1,6.3,15.9,8.1,6.2,7.1,2.4,2.6,0.8,4.3,5.1,3.9,2.3,1.1,21.3,0.552,0.473,157.9,2.8,12.5,7.9,20.3,11,3.6,3.6,29.6,0.5,1.3,115.4,94.3,21.1,463.2,24.5,0.4,0.05125,-2.7,0,NA,NA
"222","Rakeem Christmas",36,23,0,0,4.4,6.2,0.712,2.5,3.4,3.1,5.9,9,1.5,0.9,2.5,7.6,13.8,0,5.1,7.2,2.9,3.9,3.6,6.9,10.5,1.8,1.1,2.9,20.4,0.591,0.552,126.4,10.2,19.3,14.8,10.5,14.5,1.7,8.4,25.8,-4.3,1.5,113.5,91.9,21.6,450.1,24.6,0.5,0.221,0.75,-0.2,-15.7,-0.05
"223","Rashad Vaughn",17,18,2.3,0.383,3,4.3,0.694,2.2,2.3,0.6,4.2,4.8,1.6,0.8,0.3,7.8,17.7,7.6,3.7,5.3,2.7,2.9,0.8,5.2,6,1.9,1,0.4,22.1,0.547,0.521,151.6,2.2,13.5,8.2,12.4,11.8,1.5,1,30.8,-3.5,1.2,104.1,99.9,4.2,199,19.6,-0.6,0.0136,-4.98,-1.2,-3.56666666666667,-0.533333333333333
"224","Richaun Holmes",37,21,0.6,0.419,3.5,4.9,0.712,1.9,2.5,2.8,5.2,8,0.8,0.7,2.7,7.4,13.1,1.9,4.9,6.9,2.7,3.5,3.9,7.2,11.1,1.2,1,3.7,20.5,0.625,0.594,169.4,11.5,20.8,16.2,7.3,14.1,1.5,11.2,25.6,-4.9,1.6,119.4,91.2,28.2,420.4,28.2,12.4,0.1525,0.3,2.4,-1.875,0.45
